season,week,contestant,judge_score,vote_share_mean,vote_share_std,ci_lower,ci_upper,is_eliminated
28,3,James Van Der Beek,23.0,0.10951874866165144,0.07734969730906655,0.00993773923051335,0.29809779828078553,False
28,3,Kel Mitchell,20.0,0.10857650870322288,0.07699948302580871,0.013346034691144568,0.30082055644800737,False
28,3,Lamar Odom,12.0,0.1223660200001544,0.06210268850359663,0.03687564766688369,0.27638035058688437,False
28,3,Sailor Brinkley-Cook,23.0,0.09436628750477073,0.07262222797219149,0.008174237004329865,0.27976148257993166,False
28,3,Sean Spicer,15.0,0.10530192400221267,0.06411264341705616,0.019840507631549605,0.2620620266168831,False
28,3,Lauren Alaina,20.0,0.11712782560014164,0.07387748847151202,0.01838236133091725,0.30269927206771924,False
28,3,Ally Brooke,24.0,0.12505503526928166,0.08489877286435242,0.012017772022259931,0.33263771516197765,False
28,3,Karamo Brown,16.0,0.027193132198972802,0.01889389575233706,0.002108402928719525,0.0724420965314729,True
28,3,Hannah Brown,21.0,0.09492750042436275,0.07263957449778434,0.008216243785894337,0.2943244096258344,False
28,4,Kate Flannery,26.0,0.10998142145297055,0.08151152150871657,0.01012501779835999,0.32496041369817286,False
28,4,James Van Der Beek,28.0,0.10908322189130885,0.08084059165037291,0.009994033809071568,0.3159123022804685,False
28,4,Kel Mitchell,32.0,0.10958401107178684,0.07573673380297444,0.010713041466984194,0.2912398233825067,False
28,4,Lamar Odom,20.0,0.034835002064459566,0.023164897103274226,0.0033041042119033083,0.09008750894175624,True
28,4,Sailor Brinkley-Cook,31.0,0.09811518098530757,0.07367488782653793,0.008184612418289536,0.2927284507600007,False
28,4,Sean Spicer,21.0,0.09731919159163262,0.06854153747323635,0.011084632846333046,0.2767409652659313,False
28,4,Lauren Alaina,32.0,0.1138501300139655,0.07414682015013438,0.01283589354803366,0.29703630976341977,False
28,4,Ally Brooke,32.0,0.11891801282784113,0.07386088054372587,0.014176922130567171,0.2840963386871522,False
28,4,Karamo Brown,28.0,0.09893203729540719,0.07645891522026226,0.0060060073554391745,0.3013497461322458,False
28,4,Hannah Brown,32.0,0.10938179080531968,0.07952259381930339,0.00950076961885681,0.2997004280829829,False
28,5,Kate Flannery,24.0,0.1159325205896014,0.06218552194258632,0.05528908617429799,0.3279507583422442,False
28,5,James Van Der Beek,26.0,0.02700879066658464,0.01645977565153468,0.0028477544059011084,0.05855055684111644,True
28,5,Kel Mitchell,26.0,0.07449475010938725,0.04976812276210839,0.016042023564308228,0.205653784214026,False
28,5,Sailor Brinkley-Cook,24.0,0.09985950968009111,0.02899368818969933,0.05306295567380833,0.16741589297061096,False
28,5,Sean Spicer,19.0,0.2144247894168226,0.06281358158911376,0.1312717198759295,0.3661754366163981,False
28,5,Lauren Alaina,23.0,0.14590234237733143,0.04990810272170951,0.08533696405317459,0.2983983953175943,False
